Hitman's Wife's Bodyguard,Hitman's Bodyguard,5.0
Iron Mask,,5.0
Monty Python and the Holy Grail,,5.0
Jumanji: the Next Level,Jumanji,5.0
Men in Black International,MiB,5.0
Superman: Doomsday,,5.0
Justice League,,5.0
My Hero Academia: Two Heroes,MHA,5.0
Resident Evil,RE,5.0
Puss In Boots,PIB,5.0
Ocean's Eleven,Ocean's,4.9
Muppets From Space,Muppets,4.9
Men in Black,MiB,4.9
Men in Black II,MiB,4.9
Men in Black III,MiB,4.9
Mission: Impossible-2,M:I,4.9
Mission: Impossible - Rogue Nation,M:I,4.9
Kingsman: The Secret Service,Kingsman,4.9
Kingsman: The Golden Circle,Kingsman,4.9
Spiderman Homecoming,Marvel,4.9
X-men Days of Future Past,,4.9
Batman: The Dark Knight Returns,,4.9
Resident Evil 2: Apocalypse,RE,4.9
Killing Gunther,,4.9
The Karate Kid,The Karate Kid,4.8
Mulan,,4.8
Fast & Furious,F&F,4.8
G.I.Joe: The Rise of Cobra,G.I.Joe,4.8
G.I.Joe: Retaliation,G.I.Joe,4.8
Thor: The Dark World,Marvel,4.8
Superman: Man of Tomorrow,,4.8
Aquaman,,4.8
Batman Ninja,,4.8
Superman/Batman: Public Enemies,,4.8
Superman/Batman: Apocalypse,,4.8
The Expendables 3,The Expendables,4.8
Jurassic World: Domination,Jurassic,4.8
Black Panther: Wakanda Forever,Marvel,4.8
Batman: The Doom That Came to Gotham,Batman,4.8
Batman Subzero,,4.7
The Karate Kid II,The Karate Kid,4.7
The Next Karate Kid,The Karate Kid,4.7
Mission: Impossible,M:I,4.7
X-Men Apocalypse,,4.7
Point Break (new),,4.7
Jurassic World: Dominion,Jurassic World,4.7
Ocean's 13,Ocean's,4.7
Mission:Impossible-3,M:I,4.6
Shang-Chi,Marvel,4.6
Batman Year 1,,4.6
Ocean's 12,Ocean's,4.6
Black Adam,,4.6
The Lego Batman Movie,,4.5
The Karate Kid III,The Karate Kid,4.5
The Muppet Movie,Muppets,4.5
The Muppets Christmas Carol,Muppets,4.5
Batman: Gotham By Gaslight,,4.5
Sing 2,Sing,4.5
The Batman,,4.5
Blues Brothers 2000,Blues Brothers,4.5
Sonic 2,Sonic,4.5
Pirates of the Caribbean: Dead Men Tell No Tales,PotC,4.5
The Great Muppet Caper,Muppets,4.4
Les Miserables,,4.4
Red 2,Red,4.4
Resident Evil 3: Extinction,RE,4.4
xXx,xXx,4.4
The Muppets Take Manhattan,Muppets,4.3
Godzilla vs King Kong,Godzilla,4.3
Kong Skull Island,Godzilla,4.3
Mulan (live action),,4.3
The Mechanic: Ressurection,The Mechanic,4.3
Tremors: Back to Perfection,Tremors,4.3
Tremors: The Legend Begins,Tremors,4.3
Jonah Hex,,4.2
Red,Red,4.2
John Wick I,John Wick,4.2
Godzilla King of the Monsters,Godzilla,4.1
Hulk,Marvel,4.1
Resident Evil 4: Afterlife,RE,4.1
