Knives Out;;7.3|Mystery
Free Guy;;7.1|Super Hero;Ryan Renolds
The A-Team;;7.0|Action Hero;Heist
Spiderman: Across the Spiderverse;Spiderverse;6.8|Super Hero
Jungle Cruise;;6.7
Peppermint;;6.7|Female Lead;Mature;Action Hero
Infinity War;Marvel;6.7|Super Hero
Endgame;Marvel;6.7|Super Hero
Spiderman: Into the Spiderverse;Spiderverse;6.7|Super Hero
The Martian;;6.6
Bullet Train;;6.6|Action Hero
Interstellar;;6.5
Inception;;6.5|Action Hero
Sherlock Holmes;Sherlock Holmes;6.4|Mystery
Pirates of the Caribbean: Curse of the Black Pearl;Pirates of the Caribbean;6.4|Action Hero
Dear Evan Hansen;;6.4|Musical
The League of Extraordinary Gentlemen;;6.4|Super Hero
Day of the Doctor;;6.4|Super Hero
The Prestige;;6.3
Venom;;6.3|Super Hero
Avengers;Marvel;6.3|Super Hero
Winter Soldier;Marvel;6.3|Super Hero
Pirates of the Caribbean: At World's End;Pirates of the Caribbean;6.2|Action Hero
Fast Five;Fast and Furious;6.2|Action Hero;Heist
Guardians of the Galaxy;Marvel;6.2|Super Hero
Captain America: Civil War;Marvel;6.2|Super Hero
Avengers: Age of Ultron;Marvel;6.2|Super Hero
Birds of Prey;;6.2|Female Lead;Mature;Super Hero
Tenet;;6.1|Mature;Spy
Detective Pikachu;;6.1|Mystery;Kids;Ryan Renolds
Sherlock Holmes: a Game of Shadows;Sherlock Holmes;6.1|Mystery
In The Heights;;6.1|Musical
Captain America;Marvel;6.0|Super Hero
Ant-Man and the Wasp;Marvel;6.0|Super Hero
Doctor Strange;Marvel;6.0|Super Hero
Batman Under the Red Hood;;6.0|Mature;Super Hero;Mystery
The Death and Return of Superman;;6.0|Super Hero
Pirates of the Caribbean: Dead Man's Chest;Pirates of the Caribbean;5.9|Action Hero
Escape Room;Escape Room;5.9|Female Lead;Mature
Space Jam;Space Jam;5.9|Kids
Now You See Me 2;Now You See Me;5.9|Action Hero;Heist
Iron Man 3;Marvel;5.9|Super Hero
Black Widow;Marvel;5.9|Female Lead;Super Hero
Batman Hush;;5.9|Super Hero;Mystery
Wonder Woman;DCLA;5.9|Female Lead;Super Hero
Suicide Squad;DCLA;5.9|Mature;Super Hero
The Dark Knight;The Dark Knight;5.9|Super Hero
The Lego Movie;Lego Movie;5.9|Action Hero;Kids
Spiderman: No Way Home;Marvel;5.9|Super Hero
The Three Musketeers;;5.9|Action Hero
Transformers;Transformers;5.9|Large Scale
The Meg;Meg;5.9|Action Hero;Mature;Thriller;Jason Statham
Now You See Me;Now You See Me;5.8|Action Hero;Heist
Escape Room: Tournament of Champions;Escape Room;5.8|Female Lead;Mature
Iron Man;Marvel;5.8
Suicide Squad Hell to Pay;;5.8|Mature;Super Hero
Justice League Dark;;5.8|Super Hero;Mystery
Batman Begins;The Dark Knight;5.8|Super Hero
Assault on Arkham;;5.8|Mature;Super Hero;Heist
Guardians of the Galaxy 3;Marvel;5.8|Super Hero
The Muppets;Muppets;5.7|Musical;Kids
Muppets Most Wanted;Muppets;5.7|Musical;Kids
Injustice;;5.7|Mature;Super Hero
Wonder Woman 1984;DCLA;5.7|Female Lead;Super Hero
Venom: Let There Be Carnage;;5.7|Super Hero
355;;5.7|Female Lead;Action Hero
Ant-man and the Wasp: Quantumania;Marvel;5.7|Super Hero
Encanto;;5.7|Musical;Kids
The Meg 2: The Trench;Meg;5.7|Action Hero;Mature;Thriller;Jason Statham
West Side Story (new);;5.6|Musical
Captain Marvel;Marvel;5.6|Female Lead;Super Hero
Black Panther;Marvel;5.6|Super Hero
Justice League Doom;;5.6|Super Hero
Justice League Crisis on Two Earths;;5.6|Super Hero
All-star Superman;;5.6|Super Hero
Justice League Dark Apokolips War;;5.6|Mature;Super Hero
Superman vs The Elites;;5.6|Super Hero
The Suicide Squad;;5.6|Mature;Super Hero
Batman: Bad Blood;;5.6|Mature;Super Hero
The Lego Movie 2;Lego Movie;5.6|Action Hero;Kids
The King's Man;Kingsman;5.6|Mature;Action Hero
Uncharted;;5.6|Action Hero
Doctor Strange: Multiverse of Madness;Marvel;5.6|Super Hero
Dungeons & Dragons: Honor Among Thieves;;5.6|Action Hero;Heist
Kung Fu Panda 2;Kung Fu Panda;5.6|Action Hero;Kids
The Hitman's Bodyguard;Hitman's Bodyguard;5.5|Mature
2 Fast 2 Furious;Fast and Furious;5.5|Action Hero
Thor;Marvel;5.5|Super Hero
The Amazing Spider-man;Spider Man;5.5|Super Hero
The Amazing Spider-man 2;Spider Man;5.5|Super Hero
Justice League: Gods and Monsters;;5.5|Super Hero
Justice League: the Flashpoint Paradox;;5.5|Mature;Super Hero
The Dark Knight Rises;The Dark Knight;5.5|Super Hero
Batman vs Robin;;5.5|Super Hero
Ready Player One;;5.5
Escape Plan;Escape Plan;5.5|Heist
Cyrano;;5.5|Musical
Project Almanac;;5.5|Mature
Indiana Jones and the Raiders of the Lost Ark;Indiana Jones;5.5
Top Gun: Maverick;;5.5
Scooby-Doo: The Movie;Scooby-Doo;5.5
Shazam: Fury of the Gods;DCLA;5.5|Super Hero
Pink Panther 2;Pink Panther;5.5|Mystery
12 Rounds;12 Rounds;5.5|Action Hero;Heist
Transformers the Last Knight;Transformers;5.5|Large Scale
Transformers Rise of the Beasts;Transformers;5.5|Large Scale
Kung Fu Panda;Kung Fu Panda;5.5|Action Hero;Kids
Godzilla x Kong The New Empire;Godzilla;5.5|Large Scale
Space Jam a New Legacy;Space Jam;5.4|Kids
Spaceballs;;5.4
Sonic the Hedgehog;Sonic;5.4|Super Hero;Kids
Lupin III;;5.4|Action Hero
Fast & Furious 6;Fast and Furious;5.4|Action Hero
Furious 7;Fast and Furious;5.4|Action Hero;Jason Statham
Snake Eyes;G.I.Joe;5.4|Super Hero
Thor Ragnarok;Marvel;5.4|Super Hero
Spider-Man Far From Home;Marvel;5.4|Super Hero
Justice League: Throne of Atlantis;;5.4|Super Hero
Wonder Woman Bloodlines;;5.4|Female Lead;Super Hero
Deathstroke Knights & Dragons;;5.4|Mature;Super Hero
Justice League vs The Fatal Five;;5.4|Super Hero
Batman Soul of the Dragon;;5.4|Super Hero
Batman The Long Halloween;;5.4|Super Hero
Batman V Superman;DCLA;5.4|Super Hero
The Expendables;The Expendables;5.4|Mature;Action Hero;Jason Statham
Pirates of the Caribbean: On Stranger Tides;Pirates of the Caribbean;5.4|Action Hero
The Usual Suspects;;5.4
The Princess Bride;;5.4|Action Hero
Indiana Jones and the Last Crusade;Indiana Jones;5.4
Battle of the Super Sons;;5.4|Super Hero
Clue;;5.4|Mystery
Pink Panther;Pink Panther;5.4|Mystery;Jason Statham
The Flash;DCLA;5.4|Super Hero
Transformers Dark of the Moon;Transformers;5.4|Large Scale
Shrek 2;Shrek;5.4|Kids
The Italian Job;;5.4|Heist;Jason Statham
Kung Fu Panda 4;Kung Fu Panda;5.4|Action Hero;Kids
The Ministry of Ungentlemanly Warfare;;5.4|Mature;Spy
Tropic Thunder;;5.3|Mature
Fast and Furious: Tokyo Drift;Fast and Furious;5.3
West Side Story (old);;5.3|Musical
The Greatest Showman;;5.3
Ant-Man;Marvel;5.3|Super Hero;Heist
Guardians of the Galaxy 2;Marvel;5.3|Super Hero
(OG) Spider-man;Spider Man;5.3|Super Hero
Batman Mystery of the Batwoman;;5.3|Super Hero;Mystery
Constantine City of Demons;;5.3|Mature;Super Hero
Batman Mask of the Phantasm;;5.3|Super Hero;Mystery
Shazam;DCLA;5.3|Super Hero
Escape Plan: Hades;Escape Plan;5.3|Heist
The Fate of the Furious;Fast and Furious;5.3|Jason Statham
The Eternals;Marvel;5.3|Super Hero
Blues Brothers;Blues Brothers;5.3|Musical
Legion of Super-Heroes;;5.3|Female Lead;Super Hero
Puss in Boots: The Last Wish;Puss in Boots;5.3|Action Hero;Kids
Inside Man;Inside Man;5.3|Mature;Mystery;Heist
Die Hard 2;Die Hard;5.3|Mature;Action Hero;Heist
John Wick IV;John Wick;5.3|Mature
Transformers Revenge of the Fallen;Transformers;5.3|Large Scale
Transformers Age of Extinction;Transformers;5.3|Large Scale
Shrek;Shrek;5.3|Kids
V for vendetta;;5.3|Female Lead;Mature;Super Hero;Thriller
Mission: Impossible - Dead Reckoning;Mission Impossible;5.3|Action Hero;Spy
Kung Fu Panda 3;Kung Fu Panda;5.3|Action Hero;Kids
iRobot;;5.2|Mystery
Lord of the Rings: Fellowship of the Ring;Lord of the Rings;5.2
Lord of the Rings: The Return of the King;Lord of the Rings;5.2
Sing;Sing;5.2|Musical;Kids
Watchmen;;5.2|Mature;Super Hero
Spider-man 2;Spider Man;5.2|Super Hero
Justice League War;;5.2|Super Hero
The Expendables 2;The Expendables;5.2|Action Hero;Jason Statham
Jurassic World;Jurassic Park;5.2|Large Scale
Green Lantern: Beware My Power;;5.2|Super Hero
Hurricane Heist;;5.2|Action Hero
Indiana Jones and the Crystal Skull;Indiana Jones;5.2
12 Rounds 2 Reloaded;12 Rounds;5.2|Action Hero
Bumblebee;Transformers;5.2|Large Scale
A Goofy Movie;Goofy;5.2|Kids;Musical
Lord of the Rings: The Two Towers;Lord of the Rings;5.1
Jumanji: Welcome to the Jungle;Jumanji;5.1|Action Hero
Mission: Impossible - Ghost Protocol;Mission Impossible;5.1|Action Hero;Spy
Mission: Impossible - Fallout;Mission Impossible;5.1|Action Hero;Spy
Iron Man 2;Marvel;5.1|Super Hero
Spider-man 3;Spider Man;5.1|Super Hero
Batman Beyond Return of the Joker;;5.1|Super Hero;Mystery
Superman: Red Son;;5.1|Super Hero
Justice Society World War II;;5.1|Super Hero
(Zack Snyder) Justice League;DCLA;5.1|Mature;Super Hero
Son Of Batman;;5.1|Mature;Super Hero
Warcraft;;5.1
Moonfall;;5.1
Looney Tunes Back in Action;;5.1|Super Hero;Kids
Death on the Nile;;5.1|Mystery
Indiana Jones and the Temple of Doom;Indiana Jones;5.1
Violent Night;;5.1|Mature;Super Hero;Heist;Thriller
In Time;;5.1|Heist
Inside Man: Most Wanted;Inside Man;5.1|Heist
Die Hard;Die Hard;5.1|Mature;Action Hero;Heist;Thriller
Live Free Or Die Hard;Die Hard;5.1|Mature;Action Hero;Heist
The Super Mario Bros Movie;;5.1|Super Hero;Kids
Shrek the Third;Shrek;5.1|Kids
Money Monster;;5.1|Mystery
Nobody;;5.1|Action Hero;Mature
Rise of the Planet of the Apes;Planet of the Apes;5.1
Ghostbusters: Frozen Empire;Ghostbusters;5.1|Action Hero;Female Lead;Kids
Rescue From Gilligan's Island;;5.1
Hitman's Wife's Bodyguard;Hitman's Bodyguard;5.0|Mature;Action Hero
Iron Mask;;5.0|Action Hero
Monty Python and the Holy Grail;;5.0
Jumanji: the Next Level;Jumanji;5.0|Action Hero
Men in Black International;Men In Black;5.0|Spy
Superman: Doomsday;;5.0|Super Hero
Justice League;DCLA;5.0|Super Hero
My Hero Academia: Two Heroes;My Hero Academia;5.0|Super Hero
Resident Evil;Resident Evil;5.0|Female Lead;Mature;Action Hero;Thriller
Puss In Boots;Puss in Boots;5.0|Action Hero;Kids
Operation Fortune;;5.0|Action Hero;Jason Statham
The Man From Toronto;;5.0|Mature;Action Hero
Scream VI;Scream;5.0|Female Lead;Mature;Mystery;Thriller
Daredevil;;5.0|Mature;Super Hero
Shrek Forever After;Shrek;5.0|Kids
An Extremely Goofy Movie;Goofy;5.0|Kids
Thanksgiving;;5.0|Mature;Thriller
The Marvels;Marvel;5.0|Female Lead;Super Hero
Dawn of the Planet of the Apes;Planet of the Apes;5.0
Ocean's Eleven;Ocean's;4.9|Heist
Muppets From Space;Muppets;4.9|Kids
Men in Black;Men In Black;4.9|Spy
Men in Black II;Men In Black;4.9|Spy
Men in Black III;Men In Black;4.9|Spy
Mission: Impossible-2;Mission Impossible;4.9|Action Hero;Spy
Mission: Impossible - Rogue Nation;Mission Impossible;4.9|Action Hero;Spy
Kingsman: The Secret Service;Kingsman;4.9|Mature;Action Hero
Kingsman: The Golden Circle;Kingsman;4.9|Mature;Action Hero
Spiderman Homecoming;Marvel;4.9|Super Hero
X-men Days of Future Past;X-men;4.9|Mature;Super Hero
Batman: The Dark Knight Returns;;4.9|Super Hero
Resident Evil 2: Apocalypse;Resident Evil;4.9|Female Lead;Mature;Action Hero;Thriller
Killing Gunther;;4.9|Mature
Psych The Musical;;4.9|Musical;Mystery
Scream I;Scream;4.9|Female Lead;Mature;Mystery;Thriller
Fast X;Fast and Furious;4.9|Action Hero;Jason Statham
Blue Beetle;DCLA;4.9|Super Hero
Indiana Jones and the Dial of Destiny;Indiana Jones;4.9|Action Hero
The Karate Kid;The Karate Kid;4.8
Mulan;;4.8|Musical;Action Hero;Female Lead;Kids
Fast & Furious;Fast and Furious;4.8|Action Hero
G.I.Joe: The Rise of Cobra;G.I.Joe;4.8|Super Hero
G.I.Joe: Retaliation;G.I.Joe;4.8|Super Hero
Thor: The Dark World;Marvel;4.8|Super Hero
Superman: Man of Tomorrow;;4.8|Super Hero
Aquaman;DCLA;4.8|Super Hero
Batman Ninja;;4.8|Super Hero
